Banshees	Slayer Tower	Slayer ring to Slayer Tower; fairy ring CKS fallback	Not allowed	15 Slayer, earmuffs or a Slayer helmet, and Priest in Peril
Bats	Silvarea limestone mine	Digsite pendant to the Digsite; Ring of the elements to Earth Altar fallback	Recommended	5 combat
Bears	South-west of Legends' Guild	Fairy ring BLR; Ardougne teleport fallback	Recommended	13 combat
Birds	West of Champions' Guild	Combat bracelet to Champions' Guild	Recommended	None
Cave bugs	Dorgesh-Kaan South Dungeon	Fairy ring AJQ	Not allowed	7 Slayer, Death to the Dorgeshuun, and a safe light source
Cave crawlers	Fremennik Slayer Dungeon	Fairy ring AJR; Slayer ring fallback	Not allowed	10 Slayer, 10 combat, and poison protection
Cave slimes	Dorgesh-Kaan South Dungeon	Fairy ring AJQ	Not allowed	17 Slayer, 15 combat, Death to the Dorgeshuun, a safe light source, and poison protection
Cows	Lumbridge cow field	Lumbridge teleport	Not needed	None
Crawling hands	Slayer Tower	Slayer ring to Slayer Tower; fairy ring CKS fallback	Not allowed	5 Slayer and Priest in Peril
Dogs	East of Sophanem	Pharaoh's sceptre to Jaleustrophos; fairy ring DLQ fallback	Recommended	15 combat
Dwarves	White Wolf Tunnel pub	Games necklace to Burthorpe; Taverley teleport fallback	Not allowed	6 combat
Ghosts	Catacombs of Kourend	Xeric's talisman to Xeric's Heart	Not allowed	13 combat
Goblins	East of Lumbridge	Lumbridge teleport	Not needed	None
Icefiends	Ice Mountain	Combat bracelet to the Monastery; Falador teleport fallback	Not allowed	20 combat
Kalphites	Kalphite Slayer Cave	Desert amulet 4 to Kalphite Cave; fairy ring BIQ fallback	Recommended	15 combat and a Slayer assignment for the task-only cave
Lizards	North of Nardah	Fairy ring DLQ; Desert amulet to Nardah fallback	Not allowed	22 Slayer, ice coolers, and desert heat protection
Minotaurs	Stronghold of Security	Skull sceptre to the Stronghold; amulet of glory to Edgeville fallback	Recommended	7 combat
Monkeys	Karamja glider clearing	Fairy ring CKR; gnome glider or amulet of glory fallback	Recommended	None
Rats	Varrock Sewers	Varrock teleport	Recommended	None
Scorpions	Al Kharid mine	Ring of dueling to Emir's Arena	Recommended	7 combat
Skeletons	Digsite Dungeon	Digsite pendant to the Digsite	Recommended	15 combat, Dig Site access, and a rope for the north-west winch
Spiders	Outside H.A.M. Hideout	Draynor Village teleport; Lumbridge teleport fallback	Recommended	None
Wolves	White Wolf Mountain	Games necklace to Burthorpe; Camelot teleport fallback	Recommended	20 combat
Zombies	Alice's farm	Ectophial to the Ectofuntus	Recommended	10 combat
